Product_Name,Division,Region,Ship_Mode,Units,Sales,Cost,Gross_Profit,Profit_Margin,Order_Month,Order_DayOfWeek,Factory,Factory_Latitude,Factory_Longitude,Destination_Latitude,Destination_Longitude,Shipping_Distance_KM,Predicted_Lead_Time,Current_Factory,Current_Predicted_Lead_Time,Lead_Time_Reduction_Days,Lead_Time_Reduction_Percent,Current_Distance_KM,Distance_Change_KM,Estimated_Logistics_Impact,Risk_Level,Risk_Penalty,Recommendation_Score,Scenario_Confidence_Score
Wonka Bar - Milk Chocolate,Chocolate,Interior,Standard Class,2,6.5,2.28,4.22,0.6492307692307692,3,4,Lot's O' Nuts,32.881893,-111.768036,41.8781,-87.6298,2116.5350076365844,1367.7179999999998,Wicked Choccy's,1081.599,-286.1189999999999,-26.453334368837243,577.9464011735868,1538.5886064629976,61.54354425851991,High,15,-55.489418324710314,20.462379900405068
Wonka Bar - Milk Chocolate,Chocolate,Interior,Standard Class,2,6.5,2.28,4.22,0.6492307692307692,3,4,Wicked Choccy's,32.076176,-81.088371,41.8781,-87.6298,577.9464011735868,1081.599,Wicked Choccy's,1081.599,0.0,0.0,577.9464011735868,0.0,0.0,Medium,5,-5.0,20.462379900405068
Wonka Bar - Milk Chocolate,Chocolate,Interior,Standard Class,2,6.5,2.28,4.22,0.6492307692307692,3,4,Sugar Shack,48.11914,-96.18115,41.8781,-87.6298,670.1815889594578,1244.7979999999998,Wicked Choccy's,1081.599,-163.19899999999984,-15.088678891160203,577.9464011735868,92.23518778587106,3.6894075114348426,High,15,-25.52897033927006,20.462379900405068
Wonka Bar - Milk Chocolate,Chocolate,Interior,Standard Class,2,6.5,2.28,4.22,0.6492307692307692,3,4,Secret Factory,41.446333,-90.565487,41.8781,-87.6298,243.85741263592817,1076.3239999999998,Wicked Choccy's,1081.599,5.275000000000091,0.4877038532765,577.9464011735868,-334.08898853765857,-13.363559541506342,Medium,5,0.6380461285684369,20.462379900405068
Wonka Bar - Milk Chocolate,Chocolate,Interior,Standard Class,2,6.5,2.28,4.22,0.6492307692307692,3,4,The Other Factory,35.1175,-89.971107,41.8781,-87.6298,203.59025676163486,1083.8139999999999,Wicked Choccy's,1081.599,-2.214999999999918,-0.20478939052272777,577.9464011735868,-374.3561444119519,-14.974245776478076,High,15,-9.133175323722405,20.462379900405068
Wonka Bar - Triple Dazzle Caramel,Chocolate,Interior,Standard Class,2,7.5,2.6,4.9,0.6533333333333334,4,0,Lot's O' Nuts,32.881893,-111.768036,41.8781,-87.6298,2116.5350076365844,971.7,Wicked Choccy's,955.37,-16.33000000000004,-1.709285407747788,577.9464011735868,1538.5886064629976,61.54354425851991,High,15,-40.64298894805664,20.462379900405068
Wonka Bar - Triple Dazzle Caramel,Chocolate,Interior,Standard Class,2,7.5,2.6,4.9,0.6533333333333334,4,0,Wicked Choccy's,32.076176,-81.088371,41.8781,-87.6298,577.9464011735868,955.37,Wicked Choccy's,955.37,0.0,0.0,577.9464011735868,0.0,0.0,Medium,5,-5.0,20.462379900405068
Wonka Bar - Triple Dazzle Caramel,Chocolate,Interior,Standard Class,2,7.5,2.6,4.9,0.6533333333333334,4,0,Sugar Shack,48.11914,-96.18115,41.8781,-87.6298,670.1815889594578,974.5,Wicked Choccy's,955.37,-19.129999999999995,-2.0023655756408507,577.9464011735868,92.23518778587106,3.6894075114348426,High,15,-17.677182349958446,20.462379900405068
Wonka Bar - Triple Dazzle Caramel,Chocolate,Interior,Standard Class,2,7.5,2.6,4.9,0.6533333333333334,4,0,Secret Factory,41.446333,-90.565487,41.8781,-87.6298,243.85741263592817,961.97,Wicked Choccy's,955.37,-6.600000000000023,-0.6908318243193761,577.9464011735868,-334.08898853765857,-13.363559541506342,High,15,-10.06907527798909,20.462379900405068
Wonka Bar - Triple Dazzle Caramel,Chocolate,Interior,Standard Class,2,7.5,2.6,4.9,0.6533333333333334,4,0,The Other Factory,35.1175,-89.971107,41.8781,-87.6298,203.59025676163486,961.97,Wicked Choccy's,955.37,-6.600000000000023,-0.6908318243193761,577.9464011735868,-374.3561444119519,-14.974245776478076,High,15,-9.424800784000395,20.462379900405068
